log_no,url,title,published,status,error,body_hash,notes
60098811795,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60098811795&categoryNo=759,"개발자 교육 - iBATIS 개요, 구현, 적용, 예제",2010. 1. 5. 19:33,full-text,,06b52d7a601eddb241869dcd842cd5c42f1ec64f994e4ee472d832e1220a9538,1
60104710609,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60104710609&categoryNo=759,프로그래머 - 좋은 프로그래머는 좋은 코드를 만든다,2010. 4. 2. 0:36,full-text,,cec5fbb2bb1cdfdfdbd18420b3f0b65585d45b31f74c34c89a4b1cde39ea496c,1
60179165518,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60179165518&categoryNo=759,자기관리 - 억대 연봉자들은 어떻게 자기관리를 하는가?,2012. 12. 30. 3:22,full-text,,bd5b57bcfe08a467d04e93f462db31d3fe3dffc6cf2f572942448e63059c4a1a,1
220308421208,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220308421208&categoryNo=759,Node.JS의 개요 및 특징 - Node.JS 설치부터 주요 모듈 확인,2015. 3. 23. 12:33,full-text,,9d14ae8e6660184a15fa191d604a5bfbcd32430e6c09ecd9912d2ff245154a8a,1
220386757424,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220386757424&categoryNo=759,별 헤는 밤 - 윤동주,2015. 6. 11. 13:44,full-text,,bce8c08fa0c79cdeb4206fe6f9eb9d7523a32fe5230ed294c93db466e6c1c960,1
220469017118,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220469017118&categoryNo=759,개발자 컨퍼런스 - 한국자바개발자 컨퍼런스 14회,2015. 9. 2. 0:55,full-text,,170440e220b136e6154d612ca7ed68e3e640c2a7889078b2f67dfc64f7b52e71,1
220469022008,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220469022008&categoryNo=759,개발자 세미나 - SI 프리랜서 개발자를 위한 세미나,2015. 9. 2. 1:03,full-text,,9005eb64548f08216e1a75db93f81ee0fc79c69b128f3fe28e64dde53ce4983c,1
220492168456,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220492168456&categoryNo=759,[IoT 지식능력검정] 제 1회 시험 시행 - 2015년 11월 22일,2015. 9. 25. 21:35,full-text,,1b7b81a56b58cb5eefbbf606e8b2cba75ac2993b173fcb924b9475056377d858,1
220506988362,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220506988362&categoryNo=759,'내 마음에 사랑하는 이에게'라는 시가 '마음의 이야기'이라는 노래로,2015. 10. 12. 23:55,full-text,,f6df09559905dd46265f5db4c81bf444a2783d12f3f9bf349e4b3b17bc7aee50,1
220514611057,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220514611057&categoryNo=759,과학축제 - 제15회 용인사이버 과학축제 방문기,2015. 10. 20. 22:24,full-text,,003e80529a752f668eeb6230a3d35fd2a4168f8a8d8469692724fb8ed0d507b1,1
220519371574,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220519371574&categoryNo=759,[IoT 지식능력검정] 1장. 사물인터넷 개요 PPT 정리,2015. 10. 25. 23:42,full-text,,5216d10007cdca1a194906d6a9504f56173ddf38b95a74b04e6ff9adbb936f65,1
220523379518,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220523379518&categoryNo=759,[IoT 지식능력검정] 2장. 사물인터넷 플랫폼 PPT 정리,2015. 10. 29. 19:28,full-text,,1209bc7bb2f8f85cc53c6309bead68252cd8edb6c0d2a3d1944a93af6ccf5c73,1
220525865512,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220525865512&categoryNo=759,[IoT 지식능력검정] 3장. 사물인터넷 네트워크 PPT 정리,2015. 11. 1. 17:46,full-text,,0c40147da8f7b7d028f54c1e6df953979ddbdbd4877ce72184235547ae2de117,1
220526289353,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220526289353&categoryNo=759,[IoT 지식능력검정] 4장. 사물인터넷 디바이스 PPT 정리,2015. 11. 2. 2:41,full-text,,75bb6f5766d23dc3c23dcba67339fdb7737a8e66228e24c983084b8dfd53a4ff,1
220527247417,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220527247417&categoryNo=759,"[IoT 지식능력검정] 5장. 빅데이터와 클라우드, 모바일 PPT 정리",2015. 11. 2. 23:30,full-text,,2ada270cde51ed4eb4e76099ebaf1d1d89160c4995682995676c20f31839946e,1
220530546548,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220530546548&categoryNo=759,'아침인사'라는 시가 '청혼'이라는 노래로,2015. 11. 6. 4:35,full-text,,5ac3c3de65068ccf3bfb7251792768ca5ecdb856ee2418a9e13af0c688ed6009,1
220530548197,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220530548197&categoryNo=759,'사랑하는 이에게'이라는 한편의 시가 사랑의 노래로,2015. 11. 6. 4:47,full-text,,21d98b720390c81e4e9ccd7fcc7449fa4a36f5f1f2762bddfb15cfdc9a8cf52c,1
220532059168,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220532059168&categoryNo=759,과학축제 - 스마트 팜(Smart Farm),2015. 11. 7. 19:50,full-text,,de4ff04604cb5c5da159131b20d3bb1865d2cf06c7f32dd0b1ac6a6fcb7406b3,1
220534180100,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220534180100&categoryNo=759,[IoT 지식능력검정] 6장. 사물인터넷 비즈니스 모델 PPT 정리,2015. 11. 9. 23:05,full-text,,b383eb38c8cf2ee4f1e7a57fb3aa5e0b6202b8d1266c989b41b2e960a3144be2,1
220540957825,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220540957825&categoryNo=759,'주님의 마음'이라는 시가 '주님의 마음'이라는 노래로,2015. 11. 16. 18:39,full-text,,f11746d24278182076aac81253773ec0e564b8b3937a82822d77213b9d648c32,1
220541085323,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220541085323&categoryNo=759,과학축제 - 스마트 홈(Smart Home),2015. 11. 16. 20:56,full-text,,109945b622170cd1a4e0af503dfb4a9ae950d00f9cd059adf6f0f5def83397c5,1
220541184118,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220541184118&categoryNo=759,"IoT 국제전시회 - IoT 히스토리, OCEAN, K-ICT",2015. 11. 16. 22:32,full-text,,b1a79beab0863617eb701d2278fb9838c71191e9ef64262830a138f5b2454367,1
220542286859,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220542286859&categoryNo=759,"IoT 국제전시회 - RC카, 솔루션, 카메라, NFC, TAG",2015. 11. 17. 23:37,full-text,,282c7686d31a1e6867e45b7e0460f4321e5e139843774b6376e54f71b5eb08b0,1
220542289007,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220542289007&categoryNo=759,"IoT 국제전시회 - MQTT, 환경센서, 스마트시티",2015. 11. 17. 23:39,full-text,,d967592e268584bd4c7a9c851ee53448e13e317536852a64f5a87db4d6be4280,1
220542291925,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220542291925&categoryNo=759,"IoT 국제전시회 - 무인정산, 산업안전, 웨어러블, 센서",2015. 11. 17. 23:41,full-text,,bbf79e97eb265d29a7a323198b4ee9e66835dc6625c35dfceeb707d706373671,1
220542296990,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220542296990&categoryNo=759,"IoT 국제전시회 - 주차센서, 측정센서, 공장자동화",2015. 11. 17. 23:46,full-text,,1c37ad39f22177ca7f55b01e921b118a6df473d2515003c79d3d5fd982c1fe01,1
