language,section,title,url,note,content_hash,images,image_errors,files,file_errors
ko,00 메인,내담씨앤씨,https://www.ndcc.co.kr/,70 업무·프로젝트/NDCC 회사 사이트/한국어/00 메인/home 내담씨앤씨.md,b5f8b70de8d8181e5b0d06fea1b52a4ce2a3653c846ef4aa3d389d3102aa5168,11,0,0,0
ko,10 회사소개,회사소개 | 사업개요 | 내담씨앤씨,https://www.ndcc.co.kr/user/company/businessList,70 업무·프로젝트/NDCC 회사 사이트/한국어/10 회사소개/businessList 회사소개 - 사업개요 - 내담씨앤씨.md,4bb9a43f45de8787214a4c0bfc93973139f87b58bcc5b23b8e63fe5a32603184,0,0,0,0
ko,10 회사소개,회사소개 | CEO메시지 | 내담씨앤씨,https://www.ndcc.co.kr/user/company/ceoList,70 업무·프로젝트/NDCC 회사 사이트/한국어/10 회사소개/ceoList 회사소개 - CEO메시지 - 내담씨앤씨.md,cebc77bd2a863731b0a06f9a7f943aab85eb85bb159cf97e1ad41dd465617bc0,1,0,0,0
ko,10 회사소개,회사소개 | CI | 내담씨앤씨,https://www.ndcc.co.kr/user/company/ciList,70 업무·프로젝트/NDCC 회사 사이트/한국어/10 회사소개/ciList 회사소개 - CI - 내담씨앤씨.md,335c4c7ce03c96b5f2656b9cac707d557ed55ba6b73788c6b7de06cec1e227d7,2,0,0,0
ko,10 회사소개,회사소개 | 오시는 길 | 내담씨앤씨,https://www.ndcc.co.kr/user/company/directionsList,70 업무·프로젝트/NDCC 회사 사이트/한국어/10 회사소개/directionsList 회사소개 - 오시는 길 - 내담씨앤씨.md,8b0b46c00a52a395398a4d320cdf6687b4101c28dc27a95e09c33f0f62953e9a,6,0,0,0
ko,10 회사소개,사업소개 | 사업부소개 | 내담씨앤씨,https://www.ndcc.co.kr/user/company/divisionList,70 업무·프로젝트/NDCC 회사 사이트/한국어/10 회사소개/divisionList 사업소개 - 사업부소개 - 내담씨앤씨.md,9b97a06acf9f01c4966b2f7cb343bbd610b20c02d1b5212ea0d3e942ffe4a36c,6,0,0,0
ko,10 회사소개,회사소개 | ESG | 내담씨앤씨,https://www.ndcc.co.kr/user/company/esgList,70 업무·프로젝트/NDCC 회사 사이트/한국어/10 회사소개/esgList 회사소개 - ESG - 내담씨앤씨.md,a703765f39eeffd13438ff5b5be05122412dd18c27d9d46eb15d5f05f620179e,0,0,0,0
ko,10 회사소개,회사소개 | 연혁 | 내담씨앤씨,https://www.ndcc.co.kr/user/company/historyList,70 업무·프로젝트/NDCC 회사 사이트/한국어/10 회사소개/historyList 회사소개 - 연혁 - 내담씨앤씨.md,7917a132b58cc8104c6c998ce1f8eacb4ac1da7d3fe8f13fe3e23e7291365dfd,7,0,0,0
ko,40 인재정보,인재정보 | 인사제도 | 내담씨앤씨,https://www.ndcc.co.kr/user/highflier/hrDepartment,70 업무·프로젝트/NDCC 회사 사이트/한국어/40 인재정보/hrDepartment 인재정보 - 인사제도 - 내담씨앤씨.md,990586a15d331ca4fcac57365d1ecf2529e7ca0dccfa64933699568f6d56e64c,0,0,0,0
ko,40 인재정보,인재정보 | 인재상 | 내담씨앤씨,https://www.ndcc.co.kr/user/highflier/qualifiedEmployee,70 업무·프로젝트/NDCC 회사 사이트/한국어/40 인재정보/qualifiedEmployee 인재정보 - 인재상 - 내담씨앤씨.md,dceee565623f36e02abfd4e7efc5a4796c33e6502eb2e00ba3f0c82045ea4e42,0,0,0,0
