log_no,url,title,published,status,error,body_hash,notes
60054951389,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60054951389&categoryNo=1123,"Microsoft Project - 일정탭, 속성 지정, 요약 작업, 날짜 설정",2008. 9. 7. 7:23,full-text,,01d1283baff832e1e85e59ba6591cfb67adb5c55b27fd85f7ecf65497aae8eca,1
60054952028,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60054952028&categoryNo=1123,"Microsoft Project - WBS 정의, 개요번호, Milestone, Deadline",2008. 9. 7. 8:31,full-text,,01aeb8bbb602ac3ef943b44bb280131c39f13172d616a4f00198db228afd5340,1
60055457669,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60055457669&categoryNo=1123,"Microsoft Project - 선행작업, 후속작업, 지연시간, 선행시간",2008. 9. 23. 1:40,full-text,,6e15229214f876ab128e7a9f7db9ef78cbeaf407ae1c23df0b6f0209de99f157,1
60061002975,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60061002975&categoryNo=1123,"자격, 학력, 경력 - 소프트웨어 기술자 등급 기준 총정리",2009. 1. 19. 8:21,full-text,,a35699e3fbdebc59c93873f7b0b7bf66e959ab1f82a316fcfcda764ad0822ef4,1
60117738488,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60117738488&categoryNo=1123,초급부터 특급까지 - 소프트웨어 기술자 등급 및 경력 인정 기준,2010. 11. 3. 9:54,full-text,,68e0e57ad95173140a4be7ef64d77e199ccca64909392dbfe236922f11845734,1
60117751938,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60117751938&categoryNo=1123,Competency Matrix - 프로그래머 능력평가 매트릭스,2010. 11. 3. 14:36,full-text,,62180a5401d3f16d064f3bc8c62bedaa57a75e36781dc21508df6c8a3b7eb3d3,1
60155439009,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60155439009&categoryNo=1123,2006년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2012. 2. 13. 23:26,full-text,,f6b99b2f1b1d8aa1a6a6b718e559775400af73fdbb32888af8580437294346e2,1
60155439234,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60155439234&categoryNo=1123,2007년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2012. 2. 13. 23:29,full-text,,fc8a886fde2dc3513282a81acbd501d49409d937af3d455be928902b644cef12,1
60155439332,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60155439332&categoryNo=1123,2008년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2012. 2. 13. 23:30,full-text,,04a71878aa527492a93e7f1a118c7a1b8d8638796ac346bc987344f9bb6b993b,1
60155439502,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60155439502&categoryNo=1123,2009년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2012. 2. 13. 23:32,full-text,,600dd174889f40f66d710cc64ae0c125ed32aa3bbece98cabc2b7f122debae03,1
60155439673,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60155439673&categoryNo=1123,2010년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2012. 2. 13. 23:34,full-text,,e873f6b5f9ae7335eb44cd46363d13aae51e56efc376ce3ced90b24ca1f5860f,1
60155439771,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60155439771&categoryNo=1123,2011년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2012. 2. 13. 23:35,full-text,,2e501524faffa37ea213a334ba14c567e0d7dc0d7e44e1a417f99d0ec9b50003,1
60155441812,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60155441812&categoryNo=1123,2004년 ~ 2011년 - 소프트웨어 기술자 노임단가 추이분석,2012. 2. 14. 0:00,full-text,,76a53f3639707597455a0d6cd09b740e606dcd91049649328bddab3879e53466,1
60159143795,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60159143795&categoryNo=1123,속담과 격언 - 프로그래머에 대한 속담과 격언 🤣,2012. 3. 29. 22:16,full-text,,b044a0f8cbf82db71e5b78ce8a4347da377037aac6f79828ef42c1d99b007b80,1
60175578574,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60175578574&categoryNo=1123,기술자 등급표기 삭제 - 소프트웨어 기술자 신고제도 폐지,2012. 11. 13. 9:14,full-text,,506ab0c91c748b34456e280998b9ebcbbc4f046d79c2159ec1b8a1e4262fddcd,1
60199321374,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60199321374&categoryNo=1123,2012년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2013. 9. 4. 2:50,full-text,,d73f2f63971635270ac7aa836f070f4b46b40b1d596a02e7739eaadb091927de,1
60199321420,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60199321420&categoryNo=1123,2013년 노임단가 - 소프트웨어 기술자 등급별 노임단가,2013. 9. 4. 2:52,full-text,,ea6018e832d5f85335248c1a3662efefa5fa6a87a250be1c975d3b5f39ff8e8c,1
60210060370,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=60210060370&categoryNo=1123,프로그래머의 진실 - 다른 시각의 프로그래머의 모습 🤣,2014. 2. 26. 23:44,full-text,,6364efb65472cd0eb3629d35f1f40f05955dcc77428ee9687600e9f79da23b39,1
220063341966,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220063341966&categoryNo=1123,전자문제집 CBT - 컴퓨터 자격증 기출문제 모의고사,2014. 7. 17. 17:39,full-text,,a41a754896230efb904d4932bcde3c53ea83aced37bb25443a73e37cfb5358df,1
